,Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
8086,Model Infra Corporation,3.2,Engineering & Construction,1k-5k Employees,Data missing,23 years old,Bengaluru +7 more,Data missing,"Salary & Benefits, Company Culture, Promotions / Appraisal"
8087,Spectro Analytical Labs,3.3,Clinical Research,201-500 Employees,Data missing,28 years old,New Delhi +6 more,Data missing,Data missing
8088,BG LIIN Electrical,3.6,Data missing,51-200 Employees,Data missing,24 years old,Aurangabad +3 more,Skill Development / Learning,Data missing
8089,Kyocera Ctc Precision Tools,3.5,Industrial Machinery,51-200 Employees,Data missing,11 years old,Gurgaon +7 more,Data missing,"Salary & Benefits, Promotions / Appraisal"
8090,Digikredit Finance,4,FinTech,51-200 Employees,Data missing,9 years old,Mumbai +16 more,"Skill Development / Learning, Salary & Benefits",Data missing
8091,Luthra Group Company,3.7,Waste Management,51-200 Employees,Central,43 years old,Surat +11 more,Data missing,Data missing
8092,Profectus Capital,4.1,Financial Services,51-200 Employees,Data missing,6 years old,Mumbai +21 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Data missing
8093,Blue Rose Publishers,4.1,Printing & Publishing,51-200 Employees,Data missing,Data missing,Noida +2 more,"Skill Development / Learning, Company Culture, Work Satisfaction",Data missing
8094,Flyweis Technology,4.3,IT Services & Consulting,51-200 Employees,Data missing,Data missing,New Delhi +2 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Data missing
8095,ContactPoint 360,4.4,Other,201-500 Employees,Data missing,16 years old,Mississauga +3 more,"Work Life Balance, Company Culture, Work Satisfaction",Data missing
8096,FreshToHome,3.6,Retail,1-10 Employees,Data missing,8 years old,Bangalore/Bengaluru +15 more,Data missing,Data missing
8097,Apollo Cradle,4.1,Data missing,501-1k Employees,Data missing,11 years old,Hyderabad +9 more,"Job Security, Salary & Benefits, Work Life Balance",Data missing
8098,Essencea Infoserv,2.5,BPO,51-200 Employees,Data missing,Data missing,Hyderabad/Secunderabad +3 more,Data missing,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
8099,Infra Construction,4.2,Engineering & Construction,Data missing,Data missing,Data missing,Hyderabad/Secunderabad +26 more,"Salary & Benefits, Company Culture, Skill Development / Learning",Data missing
8100,Q Tech Microelectronics India,3.4,Data missing,10k-50k Employees,Data missing,Data missing,Greater Noida +2 more,Data missing,"Job Security, Promotions / Appraisal"
8101,Mining Engineering Services,3.8,Import & Export,Data missing,Data missing,Data missing,Vadodara +4 more,Data missing,Data missing
8102,BlueBinaries Engineering and Solutions,3.6,Software Product,501-1k Employees,Startup,6 years old,Chennai +4 more,Data missing,Data missing
8103,LambdaTest,4.6,Software Product,201-500 Employees,Startup,6 years old,San Francisco +2 more,"Salary & Benefits, Company Culture, Skill Development / Learning",Data missing
8104,Nordex India,3.7,Internet,51-200 Employees,Data missing,38 years old,Hamburg +10 more,Work Life Balance,Promotions / Appraisal
8105,Chqbook.com,3.3,Financial Services,51-200 Employees,Startup,6 years old,Gurgaon +11 more,Data missing,Data missing
8106,EzappSolution,4.8,IT Services & Consulting,51-200 Employees,Data missing,15 years old,Gurgaon/Gurugram +8 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
8107,Gainwell Technologies,4.1,IT Services & Consulting,501-1k Employees,Data missing,14 years old,Virginia +7 more,"Job Security, Work Life Balance, Company Culture",Data missing
8108,AVYAIT,4,Data missing,51-200 Employees,Data missing,3 years old,Hyderabad,"Work Life Balance, Skill Development / Learning",Data missing
8109,Academor,3.8,Education & Training,51-200 Employees,Data missing,1 years old,Bengaluru/Bangalore +1 more,Company Culture,Data missing
8110,Sony Pictures Networks,4.1,Data missing,Data missing,Data missing,Data missing,Mumbai +11 more,"Salary & Benefits, Company Culture, Work Life Balance",Data missing
8111,HLE Engineers,3.9,Industrial Machinery,501-1k Employees,Data missing,42 years old,Navsari +7 more,Skill Development / Learning,Data missing
8112,Carestream Health,3.8,Healthcare,201-500 Employees,Data missing,16 years old,New York +10 more,Company Culture,Data missing
8113,Galderma,4,Healthcare,201-500 Employees,Data missing,42 years old,Lausanne +19 more,"Skill Development / Learning, Salary & Benefits",Data missing
8114,BIS,4.1,Data missing,1k-5k Employees (Global),Data missing,Data missing,London +13 more,"Company Culture, Work Satisfaction, Job Security",Data missing
8115,SoftNice,3.7,IT Services & Consulting,501-1k Employees,Data missing,22 years old,Allentown +6 more,Data missing,Data missing
8116,HyTech Professionals,3.3,IT Services & Consulting,201-500 Employees,Data missing,19 years old,Rockville +1 more,Data missing,"Promotions / Appraisal, Skill Development / Learning"
8117,Techved Consulting,3.2,IT Services & Consulting,11-50 Employees,Data missing,16 years old,Mumbai +5 more,Data missing,"Salary & Benefits, Job Security, Promotions / Appraisal"
8118,Spi Cinemas,4.7,Media & Entertainment,201-500 Employees,Data missing,32 years old,Chennai +10 more,"Job Security, Company Culture, Work Satisfaction",Data missing
8119,Indeed,4.1,Internet,1k-5k Employees,Data missing,19 years old,Austin +15 more,"Work Life Balance, Salary & Benefits, Skill Development / Learning",Data missing
8120,Edufic Digital,4,EdTech,201-500 Employees,Data missing,Data missing,Chennai +3 more,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Data missing
8121,TekFriday Processing Solutions,3.7,IT Services & Consulting,201-500 Employees,Data missing,10 years old,Hyderabad/Secunderabad,Data missing,Data missing
8122,Cascade Revenue Management,2.8,IT Services & Consulting,201-500 Employees,Data missing,Data missing,Kochi +2 more,Data missing,"Job Security, Company Culture, Work Satisfaction"
8123,Khosla Profil,3.4,Fashion & Textile,501-1k Employees,Data missing,44 years old,Mumbai +6 more,Data missing,Data missing
8124,Farnek Averial,3.5,Facility Management Services,5k-10k Employees (Global),Data missing,43 years old,Dubai +4 more,"Job Security, Skill Development / Learning",Data missing
8125,W3Global,3.4,Recruitment,201-500 Employees,Data missing,17 years old,Frisco +4 more,Data missing,Data missing
8126,Rashi Peripherals,3.4,IT Services & Consulting,1k-5k Employees,Data missing,34 years old,Mumbai +19 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
8127,La opala rg,3.7,Retail,201-500 Employees,Public,36 years old,Kolkata +7 more,Data missing,Data missing
8128,Amit Metaliks,3.3,Iron & Steel,201-500 Employees,Data missing,19 years old,Kolkata +5 more,Data missing,Promotions / Appraisal
8129,Hotel Hindusthan International,3.9,Hospitality,501-1k Employees (Global),Data missing,54 years old,Kolkata +12 more,Data missing,Data missing
8130,Detroit Engineered Products,3.3,Automobile,201-500 Employees,Data missing,25 years old,Troy +6 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
8131,YLG Salon & Spa,3.5,Beauty & Personal Care,51-200 Employees,Data missing,14 years old,Bangalore +4 more,Data missing,Promotions / Appraisal
8132,Malpani Group,4.1,Power,1k-5k Employees,Data missing,129 years old,Sangamner +9 more,"Work Life Balance, Company Culture, Job Security",Data missing
8133,JK Organisation,3.8,Auto Components,10k-50k Employees,Conglomerate,135 years old,Delhi/NCR +21 more,"Job Security, Salary & Benefits",Data missing
8134,Airtel Africa,2.9,Telecom,Data missing,Data missing,Data missing,Gurgaon/Gurugram +5 more,Data missing,"Company Culture, Promotions / Appraisal, Work Satisfaction"
8135,S.H. Kelkar & Co.,4.2,Chemicals,1k-5k Employees,Data missing,15 years old,Mumbai +8 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
8136,Raj Industries,3.5,Packaging,51-200 Employees,Data missing,15 years old,Bhiwadi +18 more,Data missing,Data missing
8137,Rhydburg Pharmaceuticals,3.5,Pharma,51-200 Employees,Public,36 years old,Delhi/NCR +3 more,Data missing,Promotions / Appraisal
